name_simple,status,in_db,in_card,person_id,dynasty_db,hits,strong,sample_book,sample_juan,sample_sentence,all_books
张紹,拟补_待审,N,N,,,6,0,三国志,卷33.txt,謹遣私署侍中張紹、光祿大夫譙周、駙馬都尉鄧良奉繼印綬，請命告誠，敬輸忠款，存亡敕賜，惟所裁之。,三国志
拜权爲,拟补_待审,N,N,,,6,0,三国志,卷02.txt,拜權爲侍中鎮南將軍，封列侯，即日召使驂乘；,三国志
月丁卯,拟补_待审,N,N,,,6,0,史记,卷022.txt,|二月丁卯，侍中、中郎將霍禹為右將軍。,前汉纪;史记;汉书
权爲,拟补_待审,N,N,,,6,0,三国志,卷02.txt,拜權爲侍中鎮南將軍，封列侯，即日召使驂乘；,三国志
杜乔,已在库,Y,Y,P0110,东汉,6,6,后汉书,第五十七章-李杜列传.txt,侍中杜乔，学深行直，当世良臣，久托疾病，可敕令起。,后汉书
武为,拟补_待审,N,N,,,6,0,后汉书,卷22.txt,世祖即位，以武為侍中、騎都尉，封山都侯。,后汉书
武帝时,拟补_待审,N,N,,,6,0,后汉书,卷116.txt,又侍中舊與中官俱止禁中，武帝時，侍中莽何羅挾刃謀逆，由是侍中出禁外，有事乃入，畢即出。,后汉书
王邑,已在库,Y,Y,P0152,西汉_新,6,6,全汉文,卷四十八.txt,前大行尸柩在堂，而官爵臣等㠯及親屬，赫然皆貴寵，封舅爲陽安矦，皇后尊號未定，豫封父爲孔鄕矦，出侍中王邑、射聲校尉王邯等。,全汉文;汉书
皇考舅,拟补_待审,N,N,,,6,0,汉书,卷018.txt,」）||汝南|-|樂陵安侯史髙||以悼皇考舅子侍中關内侯與-{發}-霍氏-{姦}-，侯，二千三百戸。,汉书
监刘放,拟补_待审,N,N,,,6,0,三国志,卷04.txt,}}」【正始元年】春二月乙丑，加侍中中書監劉放、侍中中書令孫資為左右光祿大夫。,三国志
