name,hits,strong,sample,book
爲兾州,1,0,以尚書韓馥爲兾州侍中劉岱爲兖州陳留孔胄爲¶,后汉纪
爲博士,1,0,公卿舉賢者同上即位徴爲博士侍中車馬毎岀郊¶,后汉纪
獲嘉亦,1,0,馮石(案石魴子/柱次子)襲母公主封獲嘉侯亦為侍中稍遷衛¶,東观汉记
珮生梁,1,0,曅生齊散騎常侍珮珮生梁侍中休源休源生陳黄門¶,金石录
甫等使,1,0,長樂食監王甫等使侍中劉瑜内其奏謀頗泄漏節¶,后汉纪
监后昆,1,0,以立舊勲綜徃昭來永監後昆侍中悅上¶,前汉纪
矣上使,1,0,於是遂相疑治兵相攻矣上使侍中尚書和傕汜不¶,后汉纪
碑作躡,1,0,而碑作躡侍中吏部尚書傳云其祖名杲而碑所書乃名¶,金石录
祖潜吴,1,0,十四丗祖潜吴侍中生晋豫章太守竺竺生大尚書冲冲¶,金石录
祠五畤,1,0,祠五畤侍中淳于長賜爵關内侯食邑千戶初將作¶,前汉纪
私事扶,1,0,謂左右曰無漏泄省中事萌嘗以私事扶侍中下斬¶,后汉纪
私事責,1,0,郡不知所從趙萌以私事責侍中侍中曰陛下救我更¶,東观汉记
种輯謀,1,0,初黃門郎荀攸與議郎鄭㤗何顒侍中种輯謀曰董¶,后汉纪
称仕至,1,0,兩子爲郞弟丕字叔陵以篤學質直稱仕至侍中三¶,后汉纪
窦憲对,1,0,小單于不當怨乎上以弘議問侍中竇憲對曰曰禮¶,后汉纪
級诏使,1,0,千級詔使侍中史恃太㒒韓融告張濟曰朕惟宗廟¶,后汉纪
紫三代,1,0,魴父子兄弟並帯青紫三代侍中¶,東观汉记
者逡爲,1,0,奉世中子謁者逡爲侍中逡因言顯專權不可任上¶,前汉纪
聽于是,1,0,侯録尚書事百官揔已以聽於是侍中竇憲管掌機¶,后汉纪
聽诏使,1,0,爲巳副欲殺之帝知其謀不聽詔使侍中尚書吿喻¶,后汉纪
臣小同,1,0,」於是乃與羣臣共為奏永寧宮曰：「守尚書令太尉長社侯臣孚、大將軍武陽侯臣師、司徒萬歲亭侯臣柔、司空文陽亭侯臣冲、行征西安東將軍新城侯臣昭、光祿大夫關內侯臣邕、太常臣晏、衞尉昌邑侯臣偉、太僕臣嶷、廷尉定陵,三国志
舜如何,1,0,吾欲法堯禪舜如何侍中王閎平阿侯之子諫曰成¶,前汉纪
若乃汉,1,0,不類出二家下者乎若乃漢侍中悅晉太守宏性靜¶,前汉纪
行其計,1,0,未行其計侍中劉熊卿知其謀告之更始召申屠建¶,后汉纪
衣而出,1,0,樂甘於啖䏑遂拂衣而出侍中張孟諫曰聞足下面¶,后汉纪
言曰班,1,0,言曰班侍中本大將軍所舉宜寵異之益求其比以¶,前汉纪
試功能,1,0,采納其言考試功能侍中尚書雖功勞當遷輒厚加¶,前汉纪
語不順,1,0,也傕不從呵遣麗麗曰傕不從詔亂語不順侍中胡¶,后汉纪
謂憑曰,1,0,謂憑曰侍中當匡輔國政勿有隠情憑對曰陛下嚴曰¶,東观汉记
責之詰,1,0,臭不可食帝大怒欲責之詰侍中楊琦上封事曰傕¶,后汉纪
赦天下,1,0,初平元年春正月辛亥大赦天下侍中周毖城門校¶,后汉纪
輿西行,1,0,爲亂脅乘輿西行侍中劉艾見火起不止曰可出幸¶,后汉纪
農郑衆,1,0,以後賢異心各有損益中興之後大司農鄭衆侍中¶,前汉纪
陵郡詠,1,0,赦天下丙戌初置博陵郡詠侍中冦榮榮恂之曾孫¶,后汉纪
題故女,1,0,右北齊冝陽國太妃傅氏碑其額題故女侍中宜陽國貞¶,金石录
马长史,1,0,長水校尉曹君之碑歴太中大夫司馬長史侍中遷¶,隶释
魏朗,1,0,僕杜密尚書荀緄朱㝢魏朗侍中劉淑劉瑜左中郎¶,后汉纪
魏置女,1,0,魏置女侍中視二品然本後宫嬪御之軄今以宰相母為¶,金石录
