book,juan,sentence,source_file,anon_label,note
後漢書,卷72,既知不實，使侍中劉艾出讓有司。,data/raw/後漢書/卷72.txt,有名待核,
後漢書,卷76,"』」）

董卓入洛陽，岱從侍中出爲兗州刺史。",data/raw/後漢書/卷76.txt,有名待核,
後漢書,卷9,』」）使侍中劉艾出讓有司。,data/raw/後漢書/卷9.txt,有名待核,
後漢書,卷92,太尉愷等上侍中施延等議：「太初過天，日一度，弦望失正，月以晦見西方，食不與天相應；,data/raw/後漢書/卷92.txt,有名待核,
後漢紀,卷002,"¶
後漢灮武皇帝紀卷第二　袁宏¶
二年春正月公到薊王郞購公十萬戸薊中驚恐言¶
郞使者方至太守巳下皆出城迎公見宮屬議耿弇¶
曰今兵從南方來不可南行上谷太守耿況漁陽太¶
守彭寵公邑人也發此两都控弦強弩萬騎所向無¶
前邯鄲不足平也公曰卿言善時公官屬盡南方人¶
莫有欲北者皆曰死南首柰何北行公指弇曰是我¶
北道主人公駕出官屬不盡相及弇與公相失道路¶
擾攘皆欲擊公銚期奮㦸在前嗔目叱之至城門巳¶
閉矣攻之得出兼晨夜蒙霜雪所過城邑不敢入或¶
絶日不食至饒陽蕪蔞亭馮異進豆粥公曰得公孫¶
¶
豆粥饑寒俱觧公將出或曰閉之亭長曰天下詎可¶
知何閉長者爲遂南行至呼沱河導吏還言河水流¶
澌無舩不可渡官屬皆失色公遣王霸視之",data/raw/後漢紀/卷002.txt,有名待核,
後漢紀,卷011,"¶
¶
¶
¶
後漢孝章皇帝紀卷上第十一　袁宏¶
建𥘉元年春正月燉煌太守王遵酒泉太守殷彭將¶
兵五千人破車師耿恭遣吏范羌迎軍資於燉煌羌¶
還與大軍俱西及車師破諸將欲還羌請迎恭諸將¶
不肯羌固請之乃分兵二千人至踈勒城城中夜聞¶
兵聲以爲虜至皆恐羌呼曰我范羌也漢兵來相迎¶
恭等皆稱萬歳乃開城門恭見悲喜垂涕相持明日¶
隨軍俱還燉煌吏士餘十三人關寵病死以䘮歸西¶
域遂絶恭至司徒鮑昱以恭節過蘇武宜蒙爵土之¶
賞不從上拜恭爲騎都尉先恭未還恭毋亡自恨不¶
得親飯啥追行䘮服詔使五官中郞將馬嚴以牛酒¶
¶
釋恭服初班超與踈勒城王忠首尾吏士單少徒以¶
恩義相撫數歳幾爲龜兹所得及西域没超孤絶有¶
詔召超超發踈勒都尉",data/raw/後漢紀/卷011.txt,有名待核,
後漢紀,卷019,"¶
後漢孝順皇帝紀卷第十九　袁宏¶
四年春三月乙亥京師地震初上之立閹官之力也¶
由是寵之始專政事爭執權勢中常侍張逹等乃䜛¶
中常侍曹騰孟賁與將軍商召諸王子請收之上曰¶
將軍父子我所親必是共嫉之耳乃誅逹等辭及在¶
位大臣商上表曰春秋之義功在元帥罪在首惡賞¶
不僭溢刑不淫濫五帝三王所以致康乂也竊聞考¶
故中常侍張逹等語多所及大臣大獄一起無辜者¶
衆非所以逹和氣平政化也宜早決竟以息逮捕之¶
煩上從之二月以商少子虎賁中郞將不疑爲歩兵¶
校尉商上書曰不疑童孺猥處成人之位是以寢不¶
¶
安席食不甘味昔者晏平仲辭鄁殿以守其富公儀¶
休不愛魚食以定其位臣雖不才亦願固福禄於聖¶
世故敢布腹心觸罪歸誠上許之以不疑",data/raw/後漢紀/卷019.txt,有名待核,
後漢紀,卷027,"¶
後漢孝獻皇帝紀卷第二十七　袁宏¶
三年春正月丁丑大赦天下牛輔遣李傕郭汜張倕¶
賈詡出兵繫關東先向孫堅堅移屯梁東大爲傕等¶
所破堅率千騎潰圍而去復相合戰於陽人大破傕¶
軍傕遂掠至陳留潁川荀彧郷人多被殺掠帝思東¶
歸使侍中劉和出關詣其父太傅劉虞令將兵來迎¶
道經南陽袁術利虞爲援質劉和不遣許以兵至俱¶
西命劉和爲書與虞虞得書遣數千騎詣術公孫瓉¶
知術有異志不欲遣乃止虞虞不從瓉懼術聞而怨¶
之亦遣其從弟越將千騎詣術以自結隂教術執和¶
奪其兵由是虞瓉有隙初五原人吕布便弓馬膂力¶
¶
過人旣殺丁原董卓信愛之誓爲父子卓自以遇人¶
無禮恐人謀巳行止常以布自衞卓性剛𥚹忿不思¶
難嘗以小失意㧞手㦸擲布布捷避之",data/raw/後漢紀/卷027.txt,有名待核,
東觀漢記,卷013,"¶
欽定四庫全書¶
　東觀漢記卷十三¶
　　列傳八¶
　　伏甚¶
上自將擊彭寵伏湛(案范書本傳湛字/惠公琅邪東武人)上疏諫曰臣聞¶
文王享國五十伐崇七年而三分天下有二至武王四¶
海乃賔陛下承大亂之極岀入四年中國未化逺者不¶
服而逺征邊郡四方聞之莫不怪疑願思之杜詩薦湛¶
¶
疏(案范書本傳湛是時策免大/司徒徙封不其侯遣就國)曰竊見故大司徒陽都¶
侯伏湛自行束脩訖無毁玷篤信好學守死善道經為¶
人師行為儀表秉節持重有不可奪衆賢百姓嚮望徳¶
義微過斥退久不復用識者愍惜儒士痛心湛容貎堂¶
堂國之光輝智略謀慮朝之淵藪齠齔勵志白首不衰¶
實足以先後王室名足以光示逺人武公莊公所以砥¶
礪蕃屏勸進忠信令四方諸侯",data/raw/東觀漢記/卷013.txt,侍中子侯,
漢書,卷011,二月，封帝太太后從弟侍中傅商為汝昌侯，太后同母弟子侍中鄭業為陽信侯。,data/raw/漢書/卷011.txt,有名待核,
漢書,卷018,"|| 　 || 　 || 琅邪
|-
| 定陵侯淳-{于}-長 || 以侍中衞尉言昌陵不可成侯，千戸。",data/raw/漢書/卷018.txt,有名待核,
漢書,卷077,-{豐}-案劾章，欲奏其事，適逢許侍中私出，-{豐}-駐車舉節詔章曰：「下！,data/raw/漢書/卷077.txt,有名待核,
漢書,卷077,許侍中因得入宮門，自歸上。,data/raw/漢書/卷077.txt,有名待核,
漢書,卷084,復以邑弟侍中王奇為揚武將軍，城門將軍趙恢為彊弩將軍，中郎將李棽為厭難將軍，復將兵西。,data/raw/漢書/卷084.txt,有名待核,
金石錄,卷024,"¶
金石錄卷苐二十四　䟦尾十四(唐)¶
唐益州學舘庿堂碑¶
唐萬年宫碑隂題名¶
唐薛収碑¶
唐崔敦禮碑¶
唐贈左僕射楊逹碑¶
唐李靖碑¶
唐辨法師碑¶
唐蘭陵長公主碑¶
唐清河公主碑¶
¶
唐趙弘智碑¶
唐登封纪號文¶
唐司元太常伯竇德玄碑¶
唐于志寕碑¶
唐弘文舘學士顧君墓誌¶
唐碧落碑¶
唐興昔亡單于阿史那彌射碑¶
唐阿史那忠碑¶
唐明徴君碑¶
唐黎尊師碑¶
¶
唐李勣碑¶
唐陽翟矦夫人陸氏墓誌¶
唐少姨廟碑¶
唐啓母廟碑¶
唐房玄齡碑¶
唐髙士亷塋兆記¶
　　　　唐益州學舘庿堂記¶
右唐益州學舘廟堂記成都縣令顔有意撰人題法曺陳¶
玉文學太子詹事待詔弘文舘陵州長史而姓名残缺不¶
可辨集古錄",data/raw/金石錄/卷024.txt,有名待核,
隸釋,卷011,"¶
隷釋卷第十一¶
　　太尉劉寛碑　劉寛後碑¶
　　小黄門譙敏碑　圉令趙君碑¶
　　巴郡太守樊敏碑　益州太守髙頥碑¶
　　綏民校尉熊君碑　梁相費汎碑¶
　　髙陽令楊著碑(并陰)光禄勲劉曜碑¶
　　　　太尉劉寛碑¶
公諱寛字文饒弘農華陰人也其先(字闕二)¶
聖漢王侯繼次有國有號列&KR1285;家序公之考乃作司¶
¶
徒輔毗安順勲載二葉公託受純和之氣(闕)有樂道¶
寧儉之性疾雕飾尚檏素輕榮利重謙讓&KR0970;與同好¶
鐫墳典於苐廬是　根經緯綜精微誨童冠而&KR0263;倦¶
　浮雲之志三公莫能致之大將軍㠯禮脅命舉髙¶
苐拜侍御史遷梁令(闕)康踰産豹喪舊君㠯棄官¶
遵洙泗之業有悔仕思初之計三府",data/raw/隸釋/卷011.txt,有名待核,
隸釋,卷019,"¶
隷釋卷第十九¶
　　魏大饗碑　魏公卿上尊號奏¶
　　魏受禪表　魏脩孔子廟碑¶
　　魏横海將軍吕君碑　范式碑¶
　　張平子碑(附)¶
　　　　魏大饗碑¶
惟延康元秊八月旬有八日辛未魏王龍興踐祚規¶
恢鴻業構亮皇基萬　統世忿吳夷之凶暴滅蜀虜¶
之僭&KR0647;于赫斯怒順天致罸　之校蕳猛銳之¶
¶
卒爰整六軍率匈奴暨單于烏桓鮮卑引弓之類持¶
戟百萬控弦千隊玄甲曜野華旗蔽日天動雷震星¶
流電發戎　素辨役不更藉農夫安疇商不變肆是¶
以士有拊譟之驩民懷恵康之德皇㤙所漸無逺不¶
至武師所加無強不服故寛令西飛則蜀將東馳六¶
斾南徂則吳黨委質二虜震驚魚爤陼潰將汜自三¶
江之流方軌卭來之阪斬吳夷以染鉞　蜀",data/raw/隸釋/卷019.txt,有名待核,
隸釋,卷020,"¶
隷釋卷第二十　酈道元水經¶
　　　　司馬遷碑¶
在夏陽文云髙門華池在兹夏陽夏陽虢邑也華池¶
方三百六十歩永嘉四年漢陽太守殷濟瞻仰遺文¶
及其功徳遂建石室立碑樹垣太史公自叙曰遷生¶
於龍門是其墳墟所在¶
　　　　洛陽北界碑¶
洛縣河水之南岸有一碑北面題云洛陽北界上舊¶
有河平侯祠祠前有碑今不知所在¶
¶
　　　　夷齊廟碑¶
首陽山上有夷齊廟前有二碑並是後漢河南尹廣¶
陵陳導雒陽令徐循與處士平原蘇騰南陽何進等¶
立¶
　　　　郭林宗宋子浚碑¶
介休縣有徴士郭林宗宋子浚二碑宋冲以有道司¶
徒徴林宗縣人也辟司徒舉大尉以疾辭其碑文云¶
將蹈洪崖之遐迹紹巢由之逸軌翔區外以舒翼超¶
天衢以髙峙禀命不融享",data/raw/隸釋/卷020.txt,有名待核,
吴书,第十四章-吴主五子传,亮问侍中刁玄曰：“盗乘御马罪云何？,data/raw/mirror/三國志/吴书/第十四章-吴主五子传.txt,有名待核,
