book,juan,source_kind,source_file,match_type,hint_name,sentence,status,person,role_note,reviewer,cand_row,pilot,review_note
漢書,第四十章:霍光金日磾传,mirror,data/raw/mirror/漢書/传/第四十章-霍光金日磾传.txt,含侍中,金,男子张章先发觉，以语期门董忠，忠告在曹杨惲，惲告侍中金安上。,已录,金安上,,,531,Y,
漢書,第四十章:霍光金日磾传,mirror,data/raw/mirror/漢書/传/第四十章-霍光金日磾传.txt,复合官名,,侍中史高与金安上建发其事，言无入霍氏禁闼，卒不得遂其谋，皆雠有功。,已录,史高,,,532,Y,
漢書,第七章:武帝纪,mirror,data/raw/mirror/漢書/纪/第七章-武帝纪.txt,含侍中,,侍中仆射莽河罗与弟重合侯通谋反，侍中驸马都尉金日磾、奉车都尉霍光、骑都尉上官桀讨之。,已录,莽何罗、金日磾,,,551,Y,莽河罗即莽何罗
三國志,06,wiki,data/raw/三國志/卷06.txt,含侍中,,後大將軍何進辟爲東曹屬，稍遷侍中、河南尹、越騎校尉。,已录,何进,,,611,Y,
全後漢文,卷五十一,wiki,data/raw/全後漢文/卷五十一.txt,含侍中,,桓帝卽位，拜太中大夫、左中郎將，遷侍中、尚書、光祿大夫，?梁冀擅權，稱病去官。,提及,,,,884,Y,
全後漢文,卷八十四,wiki,data/raw/全後漢文/卷八十四.txt,含侍中,,中平中，辟大將軍何進府，後將軍袁隗表爲侍中；,提及,,,,917,Y,
全後漢文,卷六十七,wiki,data/raw/全後漢文/卷六十七.txt,含侍中,,五府竝辟，司空袁逢舉有道，大將軍何進請爲從事中郎，迎薦爲侍中，皆未就。,提及,,,,920,Y,袁逢在这句话里推辞不就任侍中
全漢文,卷三十三,wiki,data/raw/全漢文/卷三十三.txt,含侍中,,（注：《漢書?武五子?昌邑王傳》︰「侍中衞尉金安上上書言，奏可。,提及,金安上,,,954,Y,
全漢文,卷五,wiki,data/raw/全漢文/卷五.txt,含侍中,金,男子張章先發覺，?語期門董忠，忠告左曹楊惲，惲告侍中金安上。,重复,金安上,,,971,Y,
全漢文,卷五,wiki,data/raw/全漢文/卷五.txt,复合官名,,侍中史高與金安上建發其事，言無入霍氏禁闥，卒不得遂其謀，皆讎有功。,重复,史高、金安上,,,972,Y,
全漢文,卷六,wiki,data/raw/全漢文/卷六.txt,含侍中,金,上使侍中金安上諭意。,已录,金安上,,,986,Y,
前漢紀,021,wiki,data/raw/前漢紀/卷021.txt,含侍中,劉,時蕭望之周堪劉向及侍中金敞安上子中正敢言?,已录,金敞,,,1040,Y,
後漢書,101,wiki,data/raw/後漢書/卷101.txt,含侍中,,竇憲爲大將軍，憲弟笃、景等皆卿、校尉，憲女弟婿郭举爲侍中、射聲校尉，與卫尉鄧叠母元俱出入宫中，謀爲不轨。,已录,郭举,,,1106,Y,
後漢書,101,wiki,data/raw/後漢書/卷101.txt,含侍中,,三二三四頁一０行　憲女弟婿郭舉為侍中射聲校尉　按：竇憲傳作「憲女婿」，通鑑同，此云「憲女弟婿」，未詳孰是。,重复,郭举,,,1107,Y,
後漢書,10下,wiki,data/raw/後漢書/卷10下.txt,含侍中,孫,（注：案：鄧禹玄孫少府襃尚舞陰長公主，耿弇曾孫侍中良尚濮陽長公主，岑彭玄孫魏郡守熙尚涅陽長公主，來歙玄孫虎賁中郎將定尚平氏長公主，並安帝妹也。,已录,耿良,,,1121,Y,
後漢書,25,wiki,data/raw/後漢書/卷25.txt,含侍中,,【永初二年】，詔公卿舉儒術篤學者，大將軍鄧騭舉丕，再遷，復為侍中、左中郎將，再為三老。,已录,鲁丕,,,1186,Y,
後漢書,30上,wiki,data/raw/後漢書/卷30上.txt,含侍中,,時大將軍梁冀威權傾朝，遣弟侍中不疑以車馬、珍玩致遺於厚，欲與相見。,已录,梁不疑,,,1202,Y,
後漢書,33,wiki,data/raw/後漢書/卷33.txt,含侍中,竇,在位四年，奏尚書張林阿附侍中竇憲，而素行臧穢，又上洛陽令楊光，憲之賓客，在官貪殘，並不宜處位。,已录,窦宪,,,1212,Y,
後漢書,37,wiki,data/raw/後漢書/卷37.txt,含侍中,竇,和帝即位，富於春秋，侍中竇憲自以外戚之重，欲令少主頗涉經學，上疏皇太后曰：「《禮記》云：『天下之命，懸於天子；,已录,窦宪,,,1233,Y,
後漢書,39,wiki,data/raw/後漢書/卷39.txt,含侍中,竇,於是京師貴戚衛尉馬廖、侍中竇憲慕其行，各奉書致禮，革無所報受。,已录,窦宪,,,1243,Y,
後漢書,4,wiki,data/raw/後漢書/卷4.txt,含侍中,竇,冬十月乙亥，以侍中竇憲爲車騎將軍，伐北匈奴。,已录,窦宪,,,1248,Y,
後漢書,43,wiki,data/raw/後漢書/卷43.txt,含侍中,竇,時齊殤王子都鄉侯暢奔吊國憂，上書未報，侍中竇憲遂令人刺殺暢於城門屯□之中，而主名不立。,已录,窦宪,,,1253,Y,
後漢書,45,wiki,data/raw/後漢書/卷45.txt,含侍中,竇,和帝即位，侍中竇憲使人刺殺齊殤王子都鄉侯暢於上東門，有司畏憲，鹹委疑於暢兄弟。,重复,窦宪,,,1257,Y,
後漢書,46,wiki,data/raw/後漢書/卷46.txt,含侍中,竇,皇后弟侍中竇憲，薦真定令張林為尚書，帝以問壟，壟對「林雖有才能，而素行貪濁」，憲以此深恨壟。,已录,窦宪,,,1259,Y,
後漢書,52,wiki,data/raw/後漢書/卷52.txt,含侍中,竇,[一]帝雅好文章，自見駰頌後，*(帝)**[常]*嗟歎之，謂侍中竇憲曰：「卿寧知崔駰乎？,已录,窦宪,,,1268,Y,
後漢書,57,wiki,data/raw/後漢書/卷57.txt,含侍中,,及帝崩，大將軍竇武欲大誅宦官，乃引瑜為侍中，又以侍中尹勳為尚書令，共同謀畫。,重复,刘瑜,,,1291,Y,
後漢書,69,wiki,data/raw/後漢書/卷69.txt,含侍中,劉,武於是引同志尹勳為尚書令，劉瑜為侍中，馮述為屯騎校尉；,已录,刘瑜,,,1323,Y,
後漢書,8,wiki,data/raw/後漢書/卷8.txt,含侍中,劉,九月丁亥，中常侍曹節矯詔誅太傅陳蕃、大將軍竇武及尚書令尹勳、侍中劉瑜、屯騎校尉馮述，皆夷其族。,重复,刘瑜,,,1369,Y,
後漢書,82下,wiki,data/raw/後漢書/卷82下.txt,含侍中,,靈帝時，大將軍何進薦扶，徵拜侍中，甚見器重。,重复,董扶,,,1381,Y,
後漢紀,011,wiki,data/raw/後漢紀/卷011.txt,含侍中,馬,師貴戚衞尉馬廖侍中竇憲等慕其行各奉書致禮?,已录,窦宪,,,1417,Y,
後漢紀,012,wiki,data/raw/後漢紀/卷012.txt,含侍中,竇,小單于不當怨乎上以弘議問侍中竇憲對曰曰禮?,已录,窦宪,,,1421,Y,
後漢紀,012,wiki,data/raw/後漢紀/卷012.txt,含侍中,於,侯録尚書事百官揔已以聽於是侍中竇憲管掌機?,已录,窦宪,,,1422,Y,
後漢紀,012,wiki,data/raw/後漢紀/卷012.txt,含侍中,竇,贖死夏五月京都旱冬十月侍中竇憲爲車騎將軍?,已录,窦宪,,,1423,Y,
後漢紀,023,wiki,data/raw/後漢紀/卷023.txt,含侍中,劉,?侍中劉瑜素善天文與蕃書曰星辰錯亂不利大?,已录,刘瑜,,,1439,Y,
後漢紀,023,wiki,data/raw/後漢紀/卷023.txt,含侍中,劉,長樂食監王甫等使侍中劉瑜内其奏謀頗泄漏節?,已录,刘瑜,,,1440,Y,
後漢紀,023,wiki,data/raw/後漢紀/卷023.txt,含侍中,劉,僕杜密尚書荀緄朱?魏朗侍中劉淑劉瑜左中郎?,已录,,,,1441,Y,此句或切句有误
東觀漢記,002,wiki,data/raw/東觀漢記/卷002.txt,含侍中,賈,十一年帝召諸儒魯丕與侍中賈逵尚書令黄香等相?,已录,贾逵,,,1480,Y,
東觀漢記,018,wiki,data/raw/東觀漢記/卷018.txt,含侍中,竇,廖侍中竇憲慕其行各奉書致禮遺革終不發書無所?,已录,窦宪,,,1496,Y,
漢書,006,wiki,data/raw/漢書/卷006.txt,复合官名,,侍中僕射莽何羅與弟重合侯通謀反，侍中駙馬都尉金日磾、奉車都尉霍光、騎都尉上官桀討之。,重复,莽何罗、金日磾,,,1500,Y,
漢書,017,wiki,data/raw/漢書/卷017.txt,含侍中,,| 秺敬侯金日磾 || 以駙馬都尉發覺侍中莽何羅反侯，二千二百一十八戶。,已录,莽何罗,,,1516,Y,
漢書,017,wiki,data/raw/漢書/卷017.txt,含侍中,金,| 平通侯楊惲 || 以左曹中郎受董忠等言霍禹等謀，以告侍中金安上，侯，二千五百戶。,重复,金安上,,,1517,Y,
漢書,017,wiki,data/raw/漢書/卷017.txt,含侍中,,| 都成敬侯金安上 || 以侍中中郎將受楊惲言霍禹等反謀，傳言止內霍氏禁闥，侯，千七百七十一戶。,提及,金安上,,,1518,Y,
漢書,019,wiki,data/raw/漢書/卷019.txt,含侍中,,|侍中駙馬都尉金日磾為車騎將軍，一年薨。,已录,金日磾,,,1535,Y,
漢書,019,wiki,data/raw/漢書/卷019.txt,含侍中,金,|秺侯金賞為侍中太僕，七年遷。,已录,金赏,,,1538,Y,
漢書,019,wiki,data/raw/漢書/卷019.txt,含侍中,,|侍中奉車都尉金敞為水衡都尉，一年遷。,已录,金敞,,,1547,Y,
