name_simple,in_db,card,approx_in_db,hit_count,explicit_count,dynasty_db,person_id,sample_book,sample_juan,sample_sentence,phase,kinds
兼领,N,N,,1,1,,,后汉书,第七十四章-儒林列传上,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。,xihan_addition,人物
冒名,N,N,,1,1,,,后汉书,第二十六章-梁统列传,冒名而为侍中、卿、校尉、郡守、长吏者十余人，皆贪叨凶淫，各遣私客籍属县富人，被以它罪，闭狱掠拷，使出钱自赎，资物少者至于死徙。,xihan_addition,人物
出禁外,N,N,,1,1,,,后汉书,卷116,又侍中舊與中官俱止禁中，武帝時，侍中莽何羅挾刃謀逆，由是侍中出禁外，有事乃入，畢即出。,wudi_expansion,制度+人物
单甫受学,N,N,,1,1,,,三国志,第十八章-吴范刘惇赵达传,少从汉侍中单甫受学，用思精密，谓东南有王者气，可以避难，故脱身渡江。,hanwei,人物
卫尉王能,N,N,王能,1,1,,,汉书,卷019,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺。,xihan_addition,人物
受害节,N,N,,1,1,,,后汉书,第四十九章-张王种陈列传,今曹节等放纵为害，而久在左右，又公兄侍中受害节等，永乐太后所亲知也。,xihan_addition,人物
司中,N,N,,1,1,,,全后汉文,卷五十六,侍中司中，敢告執矩。,donghan_bureau,人物
后复征放,N,N,,1,1,,,汉书,第三十章-张汤传,后复征放为侍中光禄大夫，秩中二千石。,xihan_addition,制度+人物
后復征放,N,N,,1,1,,,汉书,卷059,後復徵放為侍中光祿大夫，秩中二千石。,xihan_addition,制度+人物
周珌,N,N,,1,1,,,后汉书,卷74上,時侍中周珌、城門校尉伍瓊為卓所信待，瓊等陰為紹說卓曰：「夫廢立大事，非常人所及。,xihan_addition,人物
單甫受學,N,N,,1,1,,,三国志,卷63,少從漢侍中單甫受學，用思精密。,hanwei,人物
四迁,N,N,,1,1,,,后汉书,第二十八章-郑范陈贾张列传,后征，四迁为侍中。,xihan_addition,人物
复以资,N,N,,1,1,,,三国志,第十四章-程郭董刘蒋刘传,曹爽诛后，复以资为侍中，领中书令。,hanwei,人物
复入,N,N,,1,1,,,后汉书,第四十七章-杨震列传,帝崩后，复入为侍中卫尉，从献帝西迁，有功勤。,donghan_late,制度+人物
复留,N,N,,1,1,,,后汉书,第五十四章-蔡邕列传下,迁巴郡太守，复留为侍中。,xihan_addition,人物
夺喪服,N,N,,1,1,,,三国志,卷09,帝使侍中夺喪服，使饮酒食肉，休受詔而形体益憔悴。,hanwei,人物
奉持鴻洞,N,N,,1,1,,,后汉书,卷96,司徒跪曰「請進贈」，侍中奉持鴻洞。,xihan_addition,人物
如故,N,N,,1,1,,,三国志,卷05,世祖以此望德，由此出德為大鴻臚，加侍中、光祿大夫，尋疾薨，贈中軍大將軍，開府侍中如故，諡恭公，子喜嗣。,donghan_bureau,人物
子举,N,N,,1,1,,,后汉书,第十一章-皇后纪上,永元初，璜为长乐少府，子举为侍中，兼射声校尉。,donghan_bureau,制度+人物
子伋,N,N,,1,1,,,汉书,第四十二章-傅常郑甘陈段传,后皇太后同母弟苟参为水衡都尉，死，子伋为侍中，参妻欲为伋求封，汤受其金五十斤，许为求比上奏。,xihan_addition,人物
子张辟强,N,N,,1,1,,,汉书,第七十二章-外戚传上,留侯子张辟强为侍中，年十五，谓丞相陈平曰：“太后独有帝，今哭而不悲，君知其解未？,xihan_addition,人物
子爲,N,N,,1,1,,,汉书,卷068,臨敞病困，拜子爲侍中，以此車送，欲敞見其榮寵也。,xihan_addition,人物
宣意,N,N,,1,1,,,三国志,卷11,上使侍中宣意曰：『君守平原日淺，故復試君三輔，非有所閒也。,hanwei,人物
左中郎将,N,N,,1,1,,,全后汉文,卷三十三,永初中，復徵，再遷侍中左中郎將，卒年七十五。,donghan_bureau,人物
已往,N,N,,1,1,,,全后汉文,卷七十八,自侍-{御}-史、侍中已往，道爲帝師，德爲世表，體尊名重，階級彌崇。,donghan_bureau,人物
帝崩后,N,N,,1,1,,,后汉书,第四十七章-杨震列传,帝崩后，复入为侍中卫尉，从献帝西迁，有功勤。,donghan_late,制度+人物
平子雖,N,N,,1,1,,,三国志,卷29,平子雖為侍中，馬先生雖給事省中，俱不典工官，巧無益於世。,hanwei,人物
平間,N,N,,1,1,,,后汉书,卷35,純少襲爵士，哀、平間為侍中，王莽時至列卿。,wangmang,人物
平间,N,N,,1,1,,,后汉书,第二十七章-张曹郑列传,纯少袭爵士，哀、平间为侍中，王莽时至列卿。,wangmang,人物
并皆年少,N,N,,1,1,,,后汉书,第五十七章-李杜列传,一日朝会，见诸侍中并皆年少，无一宿儒大人可顾问者，诚可叹息。,xihan_addition,制度+人物
延光中,N,N,,1,1,,,后汉书,第二十六章-梁统列传,棠卒，子安国嗣，延光中为侍中，有罪免官，诸梁为郎吏者皆坐免。,xihan_addition,人物
弟婿郭举,N,N,郭举,1,1,,,后汉书,卷101,三二三四頁一０行憲女弟婿郭舉為侍中射聲校尉按：竇憲傳作「憲女婿」，通鑑同，此云「憲女弟婿」，未詳孰是。,donghan_mid,人物
御史中丞,N,N,,1,1,,,三国志,卷28,玫，侍中御史中丞。,hanwei,人物
復留,N,N,,1,1,,,后汉书,卷60下,遷巴郡太守，復留為侍中。,xihan_addition,人物
成帝时,N,N,,1,1,,,汉书,第四十章-霍光金日磾传,成帝时为侍中、骑都尉，领三辅胡、越骑。,chengai_mingjing,人物
擢酺,N,N,,1,1,,,后汉书,卷45,及肅宗即位，擢酺為侍中、虎賁中郎將。,xihan_addition,人物
时子寻,N,N,,1,1,,,汉书,第七十六章-王莽传中,时子寻为侍中京兆大君茂德侯，即作符命，言新室当分陕，立二伯，以丰为右伯，太傅平晏为左伯，如周、召故事。,xihan_addition,人物
时子尋,N,N,,1,1,,,汉书,卷099中,時子尋為侍中京兆大尹茂德侯，即作符命，言新室當分陝，立二伯，以豐為右伯，太傅平晏為左伯，如周召故事。,xihan_addition,人物
时統,N,N,,1,1,,,后汉书,卷30上,時統為侍中，厚隨在京師。,xihan_addition,人物
时统,N,N,,1,1,,,后汉书,第二十一章-苏竟杨厚列传上,时统为侍中，厚随在京师。,xihan_addition,人物
时虞子和,N,N,虞子和,1,1,,,后汉书,卷73,時虞子和為侍中，因此遣和潛從武關出，告虞將兵來迎。,xihan_addition,人物
昆弟宾婚,N,N,,1,1,,,汉书,第九章-天文志,四年，故大将军霍光夫人显、将军霍禹、范明友、奉车霍山及诸昆弟宾婚为侍中、诸曹、九卿、郡守皆谋反，咸伏其辜。,xihan_addition,人物
昆弟賓婚,N,N,,1,1,,,汉书,卷026,四年，故大將軍霍光夫人顯、將軍霍禹、范明友、奉車霍山及諸昆弟賓婚為侍中、諸曹、九卿、郡守皆謀反，咸伏其辜。,xihan_addition,人物
权爲,N,N,,1,1,,,三国志,卷02,拜權爲侍中鎮南將軍，封列侯，即日召使驂乘；,hanwei,制度+人物
李禎,N,N,,1,1,,,三国志,卷06,侍中李禎，傕州里，素與傕通，語傕「所以持刀者，軍中不可不爾，此國家故事」。,hanwei,人物
杜輔,N,N,,1,1,,,汉书,卷098,皇-{后}-使侍中杜輔、掖庭令濁賢交送政君太子宮，見丙殿。,xihan_addition,人物
汉安帝时,N,N,,1,1,,,三国志,卷60,齐伯父纯，儒学有重名，汉安帝时为侍中、江夏太守，去官，与江夏黄琼、〔广汉〕杨厚俱公车徵。,hanwei,人物
汝南伍琼,N,N,伍琼,1,1,,,后汉书,第六十六章-董卓列传,乃任吏部尚书汉阳周BC60、侍中汝南伍琼、尚书郑公业、长史何颙等。,xihan_addition,人物
涉为,N,N,,1,1,,,汉书,第四十章-霍光金日磾传,敞子涉本为左曹，上拜涉为侍中，使待幸绿车载送卫尉舍。,xihan_addition,人物
犧和,N,N,,1,1,,,汉书,卷018,|||||||||-|紅休侯劉歆||以侍中犧和與平晏同功侯。,xihan_addition,人物
王曠,N,N,,1,1,,,三国志,卷23,晉元帝爲安東將軍，郃爲長史，侍中王曠與司馬越書曰：「裴郃在此，雖不治事，然識量弘淹，此下人士大敬附之。,hanwei,人物
王林卿奴,N,N,王林卿,1,1,,,汉书,卷100下,」晉灼曰：「何並斬侍中王林卿奴，是立志也。,xihan_addition,人物
王粲作五,N,N,王粲,1,1,,,三国志,卷01,（注：是行也，侍中王粲作五言詩以美其事，曰：「從軍有苦樂，但問所從誰。,hanwei,人物
王閎,N,N,,1,1,,,全汉文,卷四十三,，侍中王閎上書諫，不從。,donghan_bureau,人物
皆冠鵔鸃,N,N,,1,1,,,汉书,卷093,故孝惠時，郎侍中皆冠鵔鸃，貝帶，傅脂粉，化閎、籍之屬也。,xihan_addition,人物
皆冠鵕璘,N,N,,1,1,,,史记,第六十五章-佞幸列传,故孝惠时郎侍中皆冠鵕璘，贝带，傅脂粉，化闳、籍之属也。,xihan_addition,人物
皆冠鵕鸃,N,N,,1,1,,,汉书,第六十六章-佞幸传,故孝惠时，郎侍中皆冠鵕鸃，贝带，傅脂粉，化闳、籍之属也。,xihan_addition,人物
种輯素,N,N,,1,1,,,后汉书,卷72,侍中种輯素與定親，乃言曰：『段煨欲反。,xihan_addition,人物
秺金賞,N,N,,1,1,,,汉书,卷019,|秺侯金賞為侍中太僕，七年遷。,xihan_addition,人物
竝皆年少,N,N,,1,1,,,全后汉文,卷四十八,一日朝會，見諸侍中竝皆年少，無一㝛儒大人可顧問者，誠可歎息。,donghan_bureau,制度+人物
綜並,N,N,,1,1,,,三国志,卷62,權下都建業，詳、綜並為侍中，進封鄉侯，兼左、右領軍。,hanwei,人物
群转,N,N,,1,1,,,三国志,第二十二章-桓二陈徐卫卢传,群转为侍中，领丞相东西曹掾。,hanwei,人物
聊蒼,N,N,,1,1,,,全后汉文,卷三十九,《通志‧氏族略》-{云}-：「漢侍中聊蒼，著書號《聊子》。,donghan_bureau,人物
能心計,N,N,,1,1,,,后汉书,卷60下,桑弘羊，洛陽賈人也，以能心計為侍中。,xihan_addition,人物
臣小同,N,N,,1,1,,,三国志,卷04,」於是乃與羣臣共為奏永寧宮曰：「守尚書令太尉長社侯臣孚、大將軍武陽侯臣師、司徒萬歲亭侯臣柔、司空文陽亭侯臣冲、行征西安東將軍新城侯臣昭、光祿大夫關內侯臣邕、太常臣晏、衞尉昌邑侯臣偉、太僕臣嶷、廷尉定陵侯臣毓、大鴻臚臣芝、大司農臣祥、少府臣袤、永寧衞尉臣楨、永寧太僕臣閣、大長秋臣模、司隷校尉潁昌侯臣曾、河南尹蘭陵侯臣肅、城門校尉臣慮、中護軍永安亭侯臣望、武衞將,donghan_bureau,制度+人物
至御史,N,N,,1,1,,,后汉书,卷116,自侍中至御史，皆以文属焉。,xihan_addition,人物
荀勗,N,N,,1,1,,,三国志,卷48,」旣至，車騎將軍賈充、尚書令裴秀、侍中荀勗等欲傲以所不知而不能屈。,hanwei,人物
董贤方贵,N,N,董贤,1,1,,,汉书,第四十九章-盖诸葛刘郑孙毋将何传,时，侍中董贤方贵，上使中黄门发武库兵，前后十辈，送董贤及上乳母王阿舍。,xihan_addition,人物
董贤爱幸,N,N,董贤,1,1,,,汉书,第十五章-蒯伍江息夫传,是时，侍中董贤爱幸，上欲侯之，遂下诏云：“躬、宠因贤以闻，封贤为高安侯，宠为方阳侯，躬为宜陵侯，食邑各千户。,xihan_addition,人物
蔡邕勸,N,N,蔡邕,1,1,,,三国志,卷06,」卓怒，罷坐，欲誅植，侍中蔡邕勸之，得免。,hanwei,人物
西北,N,N,,1,1,,,全后汉文,卷七十二,蔡邕前坐侍中西北，近公卿，與光、晃相難問是非焉。,donghan_bureau,人物
覬喻,N,N,,1,1,,,三国志,卷02,今遣守尚書令侍中覬喻，王其速陟帝位，以順天人之心，副朕之大願。,hanwei,人物
謁者帛敞,N,N,,1,1,,,汉书,卷094下,」詔書中郎將韓隆、王昌、副校尉甄阜、侍中謁者帛敞、長水校尉王歙使匈奴，告單于曰：「西域內屬，不當得受，今遣之。,xihan_addition,人物
谒者帛敞,N,N,,1,1,,,汉书,第六十八章-匈奴传下,”诏遣中郎将韩隆、王昌、副校尉甄阜、侍中谒者帛敞、长水校尉王歙使匈奴，告单于曰：“西域内属，不当得受，今遣之。,xihan_addition,人物
貴人飲,N,N,,1,1,,,汉书,卷054,嘗與侍中貴人飲，侵陵之，莫敢應。,xihan_addition,人物
貴重,N,N,,1,1,,,汉书,卷089,又樂陵侯史高以外屬舊恩侍中貴重，霸薦高可太尉。,xihan_addition,人物
賁赫自,N,N,,1,1,,,史记,卷091,布所幸姬疾，請就醫，醫家與中大夫賁赫對門，姬數如醫家，賁赫自以為侍中，乃厚餽遺，從姬飲醫家。,xihan_addition,人物
質已人,N,N,,1,1,,,三国志,卷62,”}}此文既流行，而質已人為侍中矣。,hanwei,人物
贊引,N,N,,1,1,,,三国志,卷15,帝令侍中贊引，呼「隴西太守前」，楚當言「唯」，而大應稱「諾」。,hanwei,人物
质已入,N,N,,1,1,,,三国志,第十七章-是仪胡综传,”此文既流行，而质已入为侍中矣。,hanwei,人物
贲赫自,N,N,,1,1,,,史记,第三十一章-黥布列传,布所幸姬疾，请就医，医家与中大夫贲赫对门，姬数如医家，贲赫自以为侍中，乃厚餽遗，从姬饮医家。,xihan_addition,人物
贵人饮,N,N,,1,1,,,汉书,第二十四章-李广苏建传,尝与侍中贵人饮，侵陵之，莫敢应。,xihan_addition,人物
贵重,N,N,,1,1,,,汉书,第六十二章-循吏传,又乐陵侯史高以外属旧恩侍中贵重，霸荐高可太尉。,xihan_addition,人物
赵彪大伯,N,N,,1,1,,,汉书,卷019,|侍中光祿大夫趙彪大伯為侍中水衡都尉，三年卒。,xihan_addition,人物
践脩前,N,N,,1,1,,,三国志,第二章-吴主传,故先遣使者犒劳，又遣尚书、侍中践脩前言，以定任子。,hanwei,人物
踐修前,N,N,,1,1,,,三国志,卷47,故先遣使者犒勞，又遣尚書、侍中踐修前言，以定任子。,hanwei,人物
辛毗奏,N,N,,1,1,,,三国志,卷24,（注：《魏名臣奏》載侍中辛毗奏曰：「昔桓階為尚書令，以崔林非尚書才，遷以為河間太守。,hanwei,人物
遂以彧,N,N,,1,1,,,后汉书,第六十四章-郑孔荀列传,”书奏，帝从之，遂以彧为侍中、光禄大夫，持节，参丞相军事。,xihan_addition,人物
金蟬左貂,N,N,,1,1,,,全后汉文,卷三十四,}}侍中金蟬左貂。,donghan_bureau,人物
鎮南,N,N,,1,1,,,三国志,卷02,拜權爲侍中鎮南將軍，封列侯，即日召使驂乘；,hanwei,制度+人物
閭丘弘,N,N,,1,1,,,后汉书,卷15,歷乃要結光祿勛祋諷，宗正劉瑋，將作大匠薛皓，侍中閭丘弘、陳光、趙代、施延，太中大夫朱倀、第五頡，中散大夫曹成，諫議大夫李尤，符節令張敬，持書侍御史龔調，羽林右監孔顯，城門司馬徐崇，衛尉守丞樂闈，長樂、未央廄令鄭安世等十餘人，俱詣鴻都門證太子無過。,xihan_addition,人物
青龙二年,N,N,,1,1,,,三国志,第二十二章-桓二陈徐卫卢传,青龙二年，入为侍中。,hanwei,人物
面称朕违,N,N,,1,1,,,后汉书,第四十一章-杨李翟应霍爰徐列传,”帝曰：“昔朱云廷折栏槛，今侍中面称朕违，敬闻阙矣。,xihan_addition,人物
韋誕駮,N,N,,1,1,,,三国志,卷11,侍中韋誕駮曰：「禮賢徵士，王政之所重也，古者考行於鄉。,hanwei,人物
音独侧听,N,N,,1,1,,,汉书,第七十四章-元后传,时太后从弟长乐卫尉弘子侍中音独侧听，具知章言，以语凤。,xihan_addition,人物
養疾,N,N,,1,1,,,全后汉文,卷七十五,是年遭疾，上印綬，詔書聽許，㠯侍中養疾。,donghan_bureau,制度+人物
黄初中,N,N,,1,1,,,三国志,第二十一章-王卫二刘傅传,伯父巽，黄初中为侍中尚书。,hanwei,人物
刘曄,N,N,,3,0,,,三国志,卷03,居數日，獨見侍中劉曄，語盡日。,hanwei,人物
中书令,N,N,,2,0,,,三国志,卷23,次楷，字叔則，侍中中書令、光祿大夫、開府。,hanwei,人物
中郎将封,N,N,,2,0,,,汉书,卷018,||濟陰|-|||||安平夷侯舜||【初元元年】癸卯以皇太-{后}-兄侍中中郎將封，千四百戸，十三年薨。,xihan_addition,人物
关内,N,N,,2,0,,,汉书,卷018,」）||汝南|-|樂陵安侯史髙||以悼皇考舅子侍中關内侯與-{發}-霍氏-{姦}-，侯，二千三百戸。,xihan_addition,人物
典校书,N,N,,2,0,,,全后汉文,卷五十六,至順帝時，平子爲侍中典校書，方作《周官解說》，乃欲㠯漢次述漢事，會復遷河間相，遂莫能立也。,origin,制度+人物
张紹,N,N,,2,0,,,三国志,卷33,謹遣私署侍中張紹、光祿大夫譙周、駙馬都尉鄧良奉繼印綬，請命告誠，敬輸忠款，存亡敕賜，惟所裁之。,wudi_expansion,人物;制度+人物
执事,N,N,,2,0,,,全后汉文,卷七十三,）侍中執事，相見無期，惟是筆疏，（注：《文選》注作「筆跡」。,donghan_bureau,人物
皇权参乘,N,N,,2,0,,,全后汉文,卷三十四,）侍中皇權參乘，問︰「貂蟬何法？,donghan_bureau,制度+人物
面称朕違,N,N,,2,0,,,后汉书,卷48,」】）帝曰：「昔朱雲廷折欄檻，今侍中面稱朕違，敬聞闕矣。,xihan_addition,人物
乐陵矦高,N,N,,1,0,,,全汉文,卷六,侍中樂陵矦高，帷幄近臣，朕之所自親，君何越職而舉之？,donghan_bureau,制度+人物
則党,N,N,,1,0,,,隶释,卷019,彞倫以遝于若郯子之所習介盧之所識¶¶者网不該羅情原始要終故能學爲人英文爲辭¶宗紹羲和之顯跡系相如之遐風向若生於春秋之¶間游乎闕里之堂將同貫宰貢齊衡游夏豈值取足¶於身中名於一涂㢤是以先生恒屈於不知已仕¶居下位再爲史官而發應間之論時不容道遂興思¶玄之賦爰登侍中則黨言允諧出相河間則黎民時¶雝庸渠限其所至哉若夫巡狩誥頌所以陳主徳¶二亰南都所以賛羙畿輦者與雅頌爭流英英,donghan_bureau,人物
卫尉长,N,N,,1,0,,,全汉文,卷八,侍中衞尉長，數白宜早止，徙家反故處。,donghan_bureau,人物
参乘,N,N,,1,0,,,后汉书,卷119,河南尹、執金吾、雒陽令奉引，奉車郎御，侍中參乘。,xihan_addition,制度+人物
子国,N,N,,1,0,,,全汉文,卷十三,侍中子國，明達淵博，雅學絶倫，言不及利，行不欺名，動遵禮法，少小長操。,donghan_bureau,人物
心林右骑,N,N,,1,0,,,全后汉文,卷二十一,永元中，爲侍中心林右騎。,donghan_bureau,人物
東通灵将,N,N,,1,0,,,汉书,卷099中,尋隨方士入華山，歲餘捕得，辭連國師公歆子侍中東通靈將、五司大夫隆威侯棻，棻弟右曹長水校尉伐虜侯泳，大司空邑弟左闕將軍堂威侯奇，及歆門人侍中騎都尉丁隆等，牽引公卿黨親列侯以下，死者數百人。,xihan_addition,人物
