name_simple,in_db,card,approx_in_db,hit_count,explicit_count,dynasty_db,person_id,sample_book,sample_juan,sample_sentence,phase,kinds
邓蕃,Y,Y,,3,1,东汉,P0203,后汉书,卷10下,）適昌安侯侍中鄧蕃。,xihan_addition,人物
刘珍,Y,Y,,2,1,东汉,P0037,后汉书,卷55,又遣中常侍奉太牢祠典，護禮儀侍中劉珍等及宗室列侯皆往會事。,donghan_late,制度+人物
承宫,Y,Y,,2,1,东汉,P0096,后汉书,卷79下,太常樓望、侍中承宮、長水校尉樊儵等皆受業於恭。,xihan_addition,人物
许允,Y,Y,,2,1,魏,P0178,三国志,卷09,侍中許允、尚書陳泰說爽，使早自歸罪。,hanwei,人物
诸葛瞻,Y,Y,,2,1,蜀汉,P0183,三国志,卷43,侍中諸葛瞻，丞相亮之子，恪從弟也。,hanwei,人物
谢惲,Y,Y,,2,1,东汉,P0185,后汉书,卷5,辛卯，大將軍耿寶、中常侍樊豐、侍中謝惲、周廣、乳母野王君王聖，坐相阿黨，豐、惲、廣下獄死，寶自殺，聖徙鴈門。,donghan_late,制度+人物
贾逵,Y,Y,,2,1,东汉,P0192,后汉书,卷25,和帝因朝會，召見諸儒，丕與侍中賈逵、尚書令黃香等相難數事，帝善丕說，罷朝，特賜冠幘履襪衣一襲。,donghan_mid,制度+人物
郑小同,Y,Y,,2,1,魏,P0208,三国志,卷04,九月庚子，講尚書業終，賜執經親授者司空鄭冲、侍中鄭小同等各有差。,hanwei,人物
任芝,Y,Y,,1,1,东汉,P0006,后汉书,第四十七章-杨震列传,书奏，帝欲止，以问侍中任芝、中常侍乐松。,donghan_late,制度+人物
伍琼,Y,Y,,1,1,东汉,P0007,后汉书,第六十四章-郑孔荀列传,公业等与侍中伍琼、卓长史何颙共说卓，以袁绍为勃海太守，以发山东之谋。,xihan_addition,人物
刘晔,Y,Y,,1,1,汉魏之际,P0032,三国志,第二十五章-辛毗杨阜高堂隆传,文帝问侍中刘晔等：“武都太守何如人也？,hanwei,人物
常洽,Y,Y,,1,1,东汉,P0076,三国志,卷06,帝聞溫與傕書，問侍中常洽曰：「傕弗知臧否，溫言太切，可爲寒心。,hanwei,人物
杜辅,Y,Y,,1,1,西汉,P0111,汉书,第七十四章-元后传,皇后使侍中杜辅、掖庭令浊贤交送政君太子宫，见丙殿。,xihan_addition,人物
王辅,Y,Y,,1,1,东汉,P0150,后汉书,第七章-孝顺孝冲孝质帝纪,深恐在所慢违'如在'之义，今遣侍中王辅等，持节分诣岱山、东海、荥阳、河、洛，尽心祈焉。,xihan_addition,人物
种辑,Y,Y,,1,1,汉魏之际,P0160,三国志,第十章-荀彧攸贾诩传,攸与议郎郑泰、何颙、侍中种辑、越骑校尉伍琼等谋曰：“董卓无道，甚於桀纣，天下皆怨之，虽资强兵，实一匹夫耳。,hanwei,人物
耿纪,Y,Y,,1,1,汉魏之际,P0165,三国志,卷16,荀彧进之太祖，（注：《傅子》曰：畿自荆州还，后至许，见侍中耿纪，语终夜。,hanwei,人物
董允,Y,Y,,1,1,蜀汉,P0171,三国志,第十章-刘彭廖李刘魏杨传,后主以问侍中董允、留府长史蒋琬，琬、允咸保仪疑延。,hanwei,人物
闾丘弘,Y,Y,,1,1,东汉,P0228,后汉书,第五章-李王邓来列传,历乃要结光禄勋礻殳讽，宗正刘玮，将作大匠薛皓，侍中闾丘弘、陈光、赵代、施延，太中大夫朱伥、第五颉，中散大夫曹成，谏议大夫李尤，符节令张敬，持书侍御史龚调，羽林右监孔显，城门司马徐崇，卫尉守丞乐闱，长乐、未央厩令郑安世等十余人，俱诣鸿都门证太子无过。,xihan_addition,人物
霍光,Y,Y,,1,1,西汉,P0242,全汉文,卷十三,㠯一通賜所幸侍中霍光，光甚好之，言爲口實。,donghan_bureau,人物
刘廙,Y,Y,,5,0,汉魏之际,P0028,三国志,卷02,」魏王侍中劉廙、辛毗、劉曄、尚書令桓階、尚書陳矯、陳羣、給事黃門侍郎王毖、董遇等言：「臣伏讀左中郎將李伏上事，考圖緯之言，以效神明之應，稽之古代，未有不然者也。,hanwei,人物;制度+人物
韩说,Y,Y,,2,0,东汉,P0249,全后汉文,卷八十一,平議馮恂宗誠厤術侍中韓說、博士蔡較、穀城門𠊱劉洪、右郎中陳調于太常府，覆校注說，平議難問，恂、誠各對。,donghan_bureau,人物
郑文信,Y,Y,,1,0,汉魏之际,P0210,三国志,卷23,馮翊甲族桓、田、吉、郭及故侍中鄭文信等，頗以其各有器實，共紀識之。,hanwei,人物
郭举,Y,Y,,1,0,东汉,P0215,后汉书,卷116,章帝元和中，侍中郭舉與後宮通，拔佩刀驚上，舉伏誅，侍中由是復出外。,xihan_addition,人物
