cand_row,book,juan,sentence,person,status,note
440,漢書,第三十章:张汤传,后复征放为侍中光禄大夫，秩中二千石。,,待审,
441,漢書,第三十章:张汤传,”及禹诛灭，而安世子孙相继，自宣、元以来为侍中、中常侍、诸曹散骑、列校尉者凡十余人。,,待审,
442,漢書,第三章:魏豹田儋韩王信传,增少为郎，诸曹、侍中、光禄大夫，昭帝时至前将军，与大将军霍光定策立宣帝，益封千户。,,待审,
445,漢書,第二十五章:卫青霍去病传,去病以皇后姊子，年十八为侍中。,,待审,
446,漢書,第二十五章:卫青霍去病传,然少而侍中，贵不省士。,,待审,
447,漢書,第二十五章:卫青霍去病传,荀彘，太原广武人，以御见，侍中，用校尉数从大将军。,,待审,
449,漢書,第二十四章:李广苏建传,陵字少卿，少为侍中建章监。,,待审,
451,漢書,第二十章:张冯汲郑传,大将军青侍中，上踞厕视之。,,待审,
452,漢書,第五十七章:谷永杜邺传,制书侍中、驸马都尉迁不忠巧佞，免归故郡，间未旬月，则有诏还，大臣奏正其罚，卒不得遣，而反兼官奉使，显宠过故。,,待审,
453,漢書,第五十三章:匡张孔马传,光与大司空师丹奏言：“诏书‘侍中、驸马都尉迁巧佞无义，漏泄不忠，国之贼也，免归故郡。,,待审,
454,漢書,第五十三章:匡张孔马传,”卒不得遣，复为侍中。,,待审,
455,漢書,第五十三章:匡张孔马传,上乃知光前免非其罪，以过近臣毁短光者，复免傅嘉，曰：“前为侍中，毁谮仁贤，诬诉大臣，令俊艾者久失其位。,,待审,
458,漢書,第五十八章:何武王嘉师丹传,赖宗庙之灵，侍中、驸马都尉贤等发觉以闻，咸伏厥辜。,,待审,
459,漢書,第五十八章:何武王嘉师丹传,数月，复以光禄大夫给事中，由是为少府、光禄勋、侍中，甚见尊重。,,待审,
463,漢書,第五十四章:王商史丹傅喜传,繇是擢为诸曹、侍中、中郎将。,,待审,
465,漢書,第五十四章:王商史丹傅喜传,而商子弟亲属为驸马都尉、侍中、中常侍、诸曹大夫郎吏者，皆出补吏，莫得留给事宿卫者。,,待审,
466,漢書,第五十四章:王商史丹傅喜传,高侍中，贵幸，以发举反者大司马霍禹功封乐陵侯。,,待审,
467,漢書,第五十四章:王商史丹傅喜传,元帝即位，为驸马都尉侍中，出常骖乘，甚有宠。,,待审,
468,漢書,第五十四章:王商史丹傅喜传,是时，太子长舅阳平侯王凤为卫尉、侍中，与皇后、太子皆忧，不知所出。,,待审,
469,漢書,第五十四章:王商史丹傅喜传,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,,待审,
470,漢書,第五十章:萧望之传,上闻之，使侍中、成都侯金安上谕意曰：“所用皆更治民以考功。,,待审,
476,漢書,第六十一章:儒林传,待诏黄门数入说教侍中，以召贺。,,待审,
477,漢書,第六十一章:儒林传,元帝即位，地馀侍中，贵幸，至少府。,,待审,
480,漢書,第六十九章:西南夷两粤朝鲜传,左将军素侍中，幸，将燕，代卒，悍，乘胜，军多骄。,,待审,
488,漢書,第六十六章:佞幸传,天子召见，欲以为侍中，逡请间言事。,,待审,
489,漢書,第六十六章:佞幸传,帝嘉长义，拜为列校尉诸曹，迁水衡都尉侍中，至卫尉九卿。,,待审,
491,漢書,第六十六章:佞幸传,初，长为侍中，奉两宫使，亲密。,,待审,
492,漢書,第六十六章:佞幸传,贤宠爱日甚，为驸马都尉侍中，出则参乘，入御左右，旬月间赏赐累巨万，贵震朝廷。,,待审,
495,漢書,第六十六章:佞幸传,是时，成帝外家王氏衰废，唯平阿侯谭子去疾，哀帝为太子时为庶子得幸，及即位，为侍中、骑都尉。,,待审,
496,漢書,第六十六章:佞幸传,后上置酒麒麟殿，贤父子亲属宴饮，王闳兄弟侍中、中常侍皆在侧。,,待审,
500,漢書,第六章:楚元王传,哀帝初即位，大司马王莽举歆宗室有材行，为侍中太中大夫，迁骑都尉、奉车光禄大夫，贵幸。,,待审,
501,漢書,第十七章:文三王传,梁之侍中、郎、谒者著引籍出入天子殿门，与汉宦官亡异。,,待审,
504,漢書,第四十一章:赵充国辛庆忌传,上乃拜侍中乐成侯许延寿为强弩将军，即拜酒泉太守武贤为破羌将军，赐玺书嘉纳其册。,,待审,
505,漢書,第四十七章:眭两夏侯京翼李传,时，平昌侯王临以宣帝外属侍中，称诏欲从奉学其术。,,待审,
507,漢書,第四十七章:眭两夏侯京翼李传,今朝廷忽于时月之令，诸侍中、尚书近臣宜皆令通知月令之意，设群下请事；,,待审,
508,漢書,第四十三章:隽疏于薛平彭传,少时，耆酒多过失，年且三十，乃折节修行，以父任为侍中中郎将、长水校尉。,,待审,
517,漢書,第四十九章:盖诸葛刘郑孙毋将何传,会日暮追及，收缚冠奴，奴曰：“我非侍中，奴耳。,,待审,
519,漢書,第四十二章:傅常郑甘陈段传,后皇太后同母弟苟参为水衡都尉，死，子伋为侍中，参妻欲为伋求封，汤受其金五十斤，许为求比上奏。,,待审,
522,漢書,第四十四章:王贡两龚鲍传,侍中、驸马都尉董贤本无葭莩之亲，但以令色谀言自进，赏赐亡度，竭尽府藏，并合三第尚以为小，复坏暴室。,,待审,
525,漢書,第四十章:霍光金日磾传,时，卫尉王莽子男忽侍中，扬语曰：“帝崩，忽常在左右，安得遗诏封三子事！,,待审,
529,漢書,第四十章:霍光金日磾传,自昭帝时，光子禹及兄孙云皆中郎将，云弟山奉车都尉、侍中，邻胡、越兵。,,待审,
