person,cand_row,book,juan,sentence,source_file,alias_in_sentence
刘茂,162,後漢書,第七十八章:独行列传,后拜侍中，卒官。,data/raw/mirror/後漢書/列传/第七十八章-独行列传.txt,
刘茂,1375,後漢書,81,后拜侍中，卒官。,data/raw/後漢書/卷81.txt,
李充,163,後漢書,第七十八章:独行列传,充迁侍中。,data/raw/mirror/後漢書/列传/第七十八章-独行列传.txt,
李充,1376,後漢書,81,充迁侍中。,data/raw/後漢書/卷81.txt,
王逸,166,後漢書,第七十六章:文苑列传上,永宁元年，太后又诏珍与B05A駼作建武已来名臣传，迁侍中、越骑校尉。,data/raw/mirror/後漢書/列传/第七十六章-文苑列传上.txt,
王逸,167,後漢書,第七十六章:文苑列传上,顺帝时，为侍中。,data/raw/mirror/後漢書/列传/第七十六章-文苑列传上.txt,
王逸,1373,後漢書,80上,{{YL|永-{寧}-元年}}，太-{後}-又詔珍與騊駼作建武已來名臣傳，遷侍中、越騎校尉。,data/raw/後漢書/卷80上.txt,
刘昆,168,後漢書,第七十四章:儒林列传上,征拜议郎，稍迁侍中、弘农太守。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
刘昆,1350,後漢書,79上,征拜議郎，稍遷侍中、弘農太守。,data/raw/後漢書/卷79上.txt,
张兴,170,後漢書,第七十四章:儒林列传上,帝善之，拜为侍中，数进见问得失。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
孙期,172,後漢書,第七十四章:儒林列传上,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
孙期,1354,後漢書,79上,”帝即敕尚書解遵禁锢，拜憑虎贲中郎将，以侍中兼領之。,data/raw/後漢書/卷79上.txt,
尹敏,174,後漢書,第七十四章:儒林列传上,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
尹敏,175,後漢書,第七十四章:儒林列传上,擢拜侍中，典领秘书近署，甚见纳异。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
尹敏,1356,後漢書,79上,顺帝以登明識禮乐，使持節臨太學，奏定曲律，轉拜侍中。,data/raw/後漢書/卷79上.txt,
尹敏,1357,後漢書,79上,擢拜侍中，典領秘書近署，甚見纳异。,data/raw/後漢書/卷79上.txt,
尹敏,1491,東觀漢記,016,侍中兼領之正旦朝賀百僚畢㑹上令羣臣能說經者¶,data/raw/東觀漢記/卷016.txt,
杨伦,176,後漢書,第七十四章:儒林列传上,服阕，征拜侍中。,data/raw/mirror/後漢書/列传/第七十四章-儒林列传上.txt,
杨伦,1358,後漢書,79上,服阕，征拜侍中。,data/raw/後漢書/卷79上.txt,
贾复,177,後漢書,第七章:冯岑贾列传,少为侍中、虎贲中郎将，朝廷多称其能。,data/raw/mirror/後漢書/列传/第七章-冯岑贾列传.txt,
刘平,179,後漢書,第三十一章:刘赵淳于江刘周赵列传,建光中，公车特征，至，拜侍中。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
刘平,1239,後漢書,39,建光中，公車特徵，至，拜侍中。,data/raw/後漢書/卷39.txt,
