id,name,style_name,dynasty,dynasty_primary,category,origin,birth,death,birth_year,death_year,year_precision,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0144,王沈,处道,魏,,士人,太原晋阳,阙,266,,,,0,0,0,0,0,0,0,0,待审
P0145,王粲,仲宣,漢魏之際,,士人,山阳高平,177,217,,,,0,0,0,0,0,0,0,0,待审
P0146,王能,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0147,王舜,阙,西漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0148,王莽,阙,西漢_新,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0149,王蕃,永元,吳,,士人,庐江,228,266,,,,0,0,0,0,0,0,0,0,待审
P0150,王辅,阙,東漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0151,王逸,叔师,東漢,,士人,南郡宜城,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0152,王邑,阙,西漢_新,,外戚,王莽从弟,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0153,王闳,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0154,王音,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0155,王龚,阙,西漢,,士人,东平陵,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0156,班伯,阙,西漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0157,璩（待考）,阙,魏,,待考,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0158,甄邯,阙,西漢_新,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0159,种劭,申甫,東漢,,士人,河南洛阳,阙,192,,,,0,0,0,0,0,0,0,0,待审
P0160,种辑,阙,漢魏之際,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0161,窦宪,伯度,東漢,,外戚,扶风平陵,阙,92,,,,0,0,0,0,0,0,0,0,待审
P0162,窦机,阙,東漢,,外戚,扶风平陵,阙,168,,,,0,0,0,0,0,0,0,0,待审
P0163,耿承,阙,東漢,,外戚,扶风茂陵,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0164,耿箕,阙,東漢,,外戚,扶风茂陵,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0165,耿纪,季行,漢魏之際,,士人,扶风茂陵,阙,218,,,,0,0,0,0,0,0,0,0,待审
P0166,苏武,子卿,西漢,,士人,杜陵,前140,前60,,,,0,0,0,0,0,0,0,0,待审
P0167,荀勖,阙,魏_晉,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0168,荀悦,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0169,荀顗,景倩,魏_晉,,士人,颍川颍阴,阙,274,,,,0,0,0,0,0,0,0,0,待审
P0170,萧育,次君,東漢,,士人,东海兰陵,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0171,董允,休昭,蜀漢,,士人,南郡枝江,阙,246,,,,0,0,0,0,0,0,0,0,待审
P0172,董贤,圣卿,西漢,,佞幸,左冯翊云阳,前23,前1,,,,0,0,0,0,0,0,0,0,待审
P0173,蔡玄,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0174,蔡茂,子礼,東漢,,士人,河内怀,前25,47,,,,0,0,0,0,0,0,0,0,待审
P0175,蔡邕,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0176,虞子和,和,東漢,,宗室/勋贵,陈留东,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0177,袁隗,次阳,東漢,,士人,汝南汝阳,阙,190,,,,0,0,0,0,0,0,0,0,待审
P0178,许允,士宗,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0179,许延寿,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0180,许慎,叔重,東漢,,士人,汝南召陵,30?,124?,,,,0,0,0,0,0,0,0,0,待审
P0181,许相,阙,東漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0182,许章,阙,西漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0183,诸葛瞻,思远,蜀漢,,宗室/勋贵,琅邪阳都,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0184,谢弼,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0185,谢惲,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0186,谢笃,阙,東漢,,外戚,扶风,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0187,费祎,文伟,蜀漢,,士人,江夏鄳,阙,253,,,,0,0,0,0,0,0,0,0,待审
P0188,贺纯,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0189,贾复,君文,東漢,,勋贵,南阳冠军,阙,55,,,,0,0,0,0,0,0,0,0,待审
P0190,贾建,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0191,贾彪,伟节,東漢,,士人,颍川定陵,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0192,贾逵,景伯,東漢,,士人,扶风平陵,30,101,,,,0,0,0,0,0,0,0,0,待审
P0193,赵代,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0194,赵典,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0195,赵孝,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0196,赵憙,伯阳,東漢,,勋贵,南阳宛,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0197,赵苞,威豪,東漢,,士人,甘陵东武城,阙,178,,,,0,0,0,0,0,0,0,0,待审
P0198,邓义,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0199,邓叠,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0200,邓干,阙,東漢,,外戚,南阳新野,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0201,邓建,阙,東漢,,外戚,南阳新野,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0202,邓弘,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0203,邓蕃,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0204,邓阊,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0205,邓骘,昭伯,東漢,,外戚,南阳新野,阙,121,,,,0,0,0,0,0,0,0,0,待审
P0207,郑均,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0208,郑小同,阙,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0209,郑弘,巨君,東漢,,士人,会稽山阴,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0210,郑文信,阙,漢魏之際,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0206,郑業,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0211,郑玄,康成,東漢,,士人,北海高密,127,200,,,,0,0,0,0,0,0,0,0,待审
P0212,郑称,阙,漢魏之際,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0213,郗虑,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0214,郤巡,阙,東漢,,士人,陈郡,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0215,郭举,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0216,郭攸之,演长,蜀漢,,士人,南阳,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0217,郭昌,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0218,金安上,子侯,西漢,,降人,匈奴休屠后裔,阙,前56,,,,0,0,0,0,0,0,0,0,待审
P0219,金敞,阙,西漢,,降人,金安上子,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0220,金日磾,翁叔,西漢,,降人,匈奴休屠王太子,前134,前86,,,,0,0,0,0,0,0,0,0,待审
P0221,金汤,阙,西漢,,降人,金涉子,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0222,金涉,阙,西漢,,降人,金敞子系,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0223,金融,阙,西漢,,降人,金涉子,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0224,金赏,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0225,金迁,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0226,钟兴,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0227,钟繇,元常,漢魏之際,,士人,颍川长社,151,230,,,,0,0,0,0,0,0,0,0,待审
P0228,闾丘弘,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0229,阎畅,阙,東漢,,外戚,河南,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0230,阚泽,德润,吳,,士人,会稽山阴,阙,243,,,,0,0,0,0,0,0,0,0,待审
P0231,阴兴,君陵,東漢,,外戚,南阳新野,阙,47,,,,0,0,0,0,0,0,0,0,待审
P0232,阴统,阙,東漢,,外戚,南阳新野,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0233,阴识,次伯,東漢,,外戚,南阳新野,阙,59,,,,0,0,0,0,0,0,0,0,待审
P0234,陈俊,子昭,東漢,,勋贵,南阳西鄂,阙,58,,,,0,0,0,0,0,0,0,0,待审
P0235,陈光,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0236,陈泰,阙,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0237,陈球,伯真,東漢,,士人,下邳淮浦,阙,168,,,,0,0,0,0,0,0,0,0,待审
P0238,陈矫,阙,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0239,陈祗,奉宗,蜀漢,,其他,汝南,阙,258,,,,0,0,0,0,0,0,0,0,待审
P0240,陈群,长文,漢魏之際,,士人,颍川许昌,阙,236,,,,0,0,0,0,0,0,0,0,待审
P0241,陈翔,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0242,霍光,子孟,西漢,,外戚/勋贵,河东平阳,阙,前68,,,,0,0,0,0,0,0,0,0,待审
P0243,霍去病,阙,西漢,,外戚/勋贵,河东平阳,前140,前117,,,,0,0,0,0,0,0,0,0,待审
P0244,霍嬗,阙,西漢,,外戚/勋贵,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0245,霍山,阙,西漢,,外戚,河东平阳,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0246,霍禹,阙,西漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0247,韩增,阙,西漢,,勋贵,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0248,韩嵩,德高,東漢,,士人,南阳义阳,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0249,韩说,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0250,顾雍,阙,吳,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0251,马何罗,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0252,马宇,阙,東漢,,士人,阙,阙,192,,,,0,0,0,0,0,0,0,0,待审
P0253,马康,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0254,马武,子张,東漢,,勋贵,南阳湖阳,阙,61,,,,0,0,0,0,0,0,0,0,待审
P0255,马良,季常,蜀漢,,士人,襄阳宜城,187,222,,,,0,0,0,0,0,0,0,0,待审
P0256,高堂隆,升平,魏,,士人,泰山平阳,阙,237,,,,0,0,0,0,0,0,0,0,待审
P0257,魏应,君伯,東漢,,士人,任城,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0258,鲍勋,叔业,魏,,士人,泰山平阳,阙,226,,,,0,0,0,0,0,0,0,0,待审
P0259,黄权,阙,蜀漢_魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
