term_id,person_id,name,dynasty_primary,start_ym,end_ym,start_year,end_year,nature,nature_primary,evidence,book,juan,quote_head
15987,P0098,是仪,,阙,阙,,,有明文,,有明文,三國志,第十七章:是仪胡综传,权下都建业，详、综并为侍中，进封乡侯，兼左右领军
15988,P0098,是仪,,阙,阙,,,有明文,,有明文,三國志,62,權下都建業，詳、綜並為侍中，進封鄉侯，兼左、右領軍
15989,P0100,朱买臣,,阙,阙,,,有明文,,有明文,史記,第六十二章:酷吏列传,庄助使人言买臣，买臣以楚辞与助俱幸，侍中，为太中大夫，用事
15990,P0100,朱买臣,,阙,阙,,,有明文,,有明文,史記,122,莊助使人言買臣，買臣以楚辭與助倶幸，侍中，爲太中大夫，用事
15991,P0100,朱买臣,,阙,阙,,,有明文,,有明文,漢書,第三十五章:严朱吾丘主父徐严终王,始，买臣与严助俱侍中，贵用事，汤尚为小吏，趋走买臣等前
15992,P0100,朱买臣,,阙,阙,,,有明文,,有明文,漢書,064上,始買臣與嚴助俱侍中，貴用事，湯尚爲小吏，趨走買臣等前
15993,P0101,朱展,,阙,阙,,,有明文,,有明文,後漢書,第十章:孝献帝纪,十一月庚午，李傕、郭汜等追乘舆，战于东涧，王师败绩，杀光禄勋邓泉、卫尉士孙瑞、廷尉宣播、大长秋苗祀、步兵校尉魏桀、侍中朱展、射声校尉沮俊
15994,P0101,朱展,,阙,阙,,,有明文,,有明文,後漢書,9,）步兵校尉魏桀、侍中朱展、射聲校尉沮儁
15995,P0102,李仁,,阙,阙,,,有明文,,有明文,三國志,卷四十八（注引）,吳平後，晉侍中庾峻等問皓侍中李仁曰：『聞吳主披人面，刖人足，有諸乎？』
15996,P0104,李尤,,阙,阙,,,有明文,,有明文,後漢書,第七十六章:文苑列传上,永宁元年，太后又诏珍与B05A駼作建武已来名臣传，迁侍中、越骑校尉
15997,P0104,李尤,,阙,阙,,,有明文,,有明文,後漢書,80上,{{YL|永-{寧}-元年}}，太-{後}-又詔珍與騊駼作建武已來名臣傳，遷侍中、越騎校尉
15998,P0105,李延年,,阙,阙,,,有明文,,有明文,史記,第二章:乐书,至今上即位，作《十九章》，令侍中李延年次序其声，拜为协律都尉
15999,P0105,李延年,,阙,阙,,,有明文,,有明文,史記,024,至今上即位，作十九章，令侍中李延年次序其聲，拜為協律都尉
16000,P0106,李棽,,阙,阙,,,有明文,,有明文,漢書,第七十七章:王莽传下,乃拜侍中掌牧大夫李棽为大将军、扬州牧，赐名圣，使将兵奋击
16001,P0106,李棽,,阙,阙,,,有明文,,有明文,漢書,099下,莽以王況讖言荊楚當興，李氏為輔，欲厭之，乃拜侍中掌牧大夫李棽為大將軍、揚州牧，賜名聖，使將兵奮擊
16002,P0107,李法,,阙,阙,,,有明文,,有明文,後漢書,卷78杨李翟应霍爰徐传,李法字伯度，漢中南鄭人也
16003,P0107,李法,,阙,阙,,,有明文,,有明文,後漢書,卷78,除博士，遷侍中、光祿大夫
16004,P0108,李膺,,阙,阙,,,有明文,,有明文,後漢書,卷97党锢传,李膺字元禮，潁川襄城人也
16005,P0108,李膺,,阙,阙,,,有明文,,有明文,後漢書,卷97,又再遷侍中、虎賁中郎將
16006,P0109,李陵,,阙,阙,,,有明文,,有明文,史記,卷109李将军列传,陵字少卿，少爲侍中建章監
16007,P0109,李陵,,阙,阙,,,有明文,,有明文,漢書,卷54,初，武與李陵俱爲侍中
16008,P0110,杜乔,,阙,阙,,,有明文,,有明文,後漢書,第五十七章:李杜列传,侍中杜乔，学深行直，当世良臣，久托疾病，可敕令起
16009,P0110,杜乔,,阙,阙,,,有明文,,有明文,後漢書,第五十五章:左周黄列传,时，诏遣八使巡行风俗，皆选素有威名者，乃拜举为侍中，与侍中杜乔、守光禄大夫周栩、前青州刺史冯羡、尚书栾巴、侍御史张纲、兗州刺史郭遵、太尉长史刘班，并守光禄大夫，分行天下
16010,P0110,杜乔,,阙,阙,,,有明文,,有明文,後漢書,第七章:孝顺孝冲孝质帝纪,丁卯，遣侍中杜乔，光禄大夫周举，守光禄大夫郭遵、冯羡、栾巴、张纲、周栩、刘班等八人分行州、郡，班宣风化，举实臧否
16011,P0111,杜辅,,阙,阙,,,有明文,,有明文,漢書,第七十四章:元后传,皇后使侍中杜辅、掖庭令浊贤交送政君太子宫，见丙殿
16012,P0112,来历,,阙,阙,,,有明文,,有明文,後漢書,第五章:李王邓来列传,历字伯珍，少袭爵，以公主子，永元中为侍中，监羽林右骑
16013,P0112,来历,,阙,阙,,,有明文,,有明文,後漢書,15,歷字伯珍，少襲爵，以公主子，永元中為侍中，監羽林右騎
16014,P0114,杨厚,,阙,阙,,,有明文,,有明文,後漢書,卷50上苏竟杨厚传,楊厚字仲桓，廣漢新都人也
16015,P0114,杨厚,,阙,阙,,,有明文,,有明文,後漢書,卷50上,及至，拜議郎，三遷爲侍中，特蒙引見，訪以時政
16016,P0115,杨奇,,阙,阙,,,有明文,,有明文,後漢書,卷八十四,牧孫奇，靈帝時爲侍中，帝嘗從容問奇曰：『朕何如桓帝？』
16017,P0116,杨彪,,阙,阙,,,有明文,,有明文,後漢書,卷84,熹平中，以博習舊聞，公車徵拜議郎，遷侍中、京兆尹
16018,P0116,杨彪,,阙,阙,,,有明文,,有明文,後漢書,卷84,帝崩後，復入爲侍中衞尉，從獻帝西遷，有功勤
16019,P0116,杨彪,,阙,阙,,,有明文,,有明文,後漢書,卷84,及帝東還，夜走度河……拜侍中
16020,P0117,杨政,,阙,阙,,,有明文,,有明文,後漢書,卷109儒林上,楊政字子行，京兆人也
16021,P0117,杨政,,阙,阙,,,有明文,,有明文,後漢書,卷109,帝善之，拜爲侍中，數進見問得失
16022,P0118,杨文父,,阙,阙,,,有明文,,有明文,隸續,020,右侍中楊文父神道字體格與馮幽州闕相似必西¶
16023,P0119,杨琦,,阙,阙,,,有明文,,有明文,三國志,卷6董二袁劉傳,李傕移乘輿幸北塢，侍中楊琦上封事
