id,name,dynasty_primary,category,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0090,张辟彊,西汉,勋贵,0,0,0,0,0,0,1,1,已校
P0091,张霸,东汉,士人,0,0,0,0,0,0,1,1,已校
P0092,张驯,东汉,士人,0,0,0,0,0,0,1,1,已校
P0093,徐博,西汉,阙,0,0,0,0,0,0,0,0,已校
P0094,徐宣,汉魏之际,阙,0,0,0,0,0,0,1,1,已校
P0095,戴凭,东汉,士人,0,0,0,0,0,0,1,0,已校
P0096,承宫,东汉,士人,0,0,0,0,0,0,1,1,已校
P0097,施延,东汉,士人,0,0,0,0,0,0,1,1,已校
P0098,是仪,吴,士人,0,0,0,0,0,0,1,1,已校
P0099,曹褒,东汉,士人,0,0,0,0,0,0,0,0,已校
P0100,朱买臣,西汉,士人,0,0,0,0,0,0,1,1,已校
P0101,朱展,东汉,其他,0,0,0,0,0,0,1,1,已校
P0102,李仁,吴,士人,0,0,0,0,0,0,1,1,已校
P0103,李充,东汉,士人,0,0,0,0,0,0,0,0,已校
P0104,李尤,东汉,士人,0,0,0,0,0,0,1,1,已校
P0105,李延年,西汉,其他,0,0,0,0,0,0,1,1,已校
P0106,李棽,新,其他,0,0,0,0,0,0,1,1,已校
P0107,李法,东汉,士人,0,0,0,0,0,0,1,1,已校
P0108,李膺,东汉,士人,0,0,0,0,0,0,1,1,已校
P0109,李陵,西汉,勋贵,0,0,0,0,0,0,1,1,已校
P0110,杜乔,东汉,阙,0,0,0,0,0,0,1,1,已校
P0111,杜辅,西汉,阙,0,0,0,0,0,0,1,1,已校
P0112,来历,东汉,外戚/勋贵,0,0,0,0,0,0,1,1,已校
P0113,杨伦,东汉,士人,0,0,0,0,0,0,0,0,已校
P0114,杨厚,东汉,士人,0,0,0,0,0,0,1,1,已校
P0115,杨奇,东汉,士人,0,0,0,0,0,0,1,1,已校
P0116,杨彪,东汉,士人,0,0,0,0,0,0,1,1,已校
P0117,杨政,东汉,士人,0,0,0,0,0,0,1,1,已校
P0118,杨文父,东汉,其他,0,0,0,0,0,0,1,1,已校
P0119,杨琦,东汉,士人,0,0,0,0,0,0,1,1,已校
P0120,杨秉,东汉,士人,0,0,0,0,0,0,1,1,已校
P0121,杨统,东汉,士人,0,0,0,0,0,0,1,1,已校
P0122,杨赐,东汉,士人,0,0,0,0,0,0,1,1,已校
P0123,桑弘羊,西汉,士人,0,0,0,0,0,0,1,1,已校
P0124,桓郁,东汉,士人,0,0,0,0,0,0,1,1,已校
P0125,楼望,东汉,士人,0,0,0,0,0,0,1,1,已校
P0126,欧阳地余,西汉,士人,0,0,0,0,0,0,1,1,已校
P0127,江革,东汉,士人,0,0,0,0,0,0,1,1,已校
P0128,淳于恭,东汉,士人,0,0,0,0,0,0,1,0,已校
P0129,淳于长,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0130,爰延,东汉,士人,0,0,0,0,0,0,1,1,已校
P0131,王允,东汉,士人,0,0,0,0,0,0,1,1,已校
P0132,王况,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0133,王凤,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0134,王去疾,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0135,王参,西汉,外戚,0,0,0,0,0,0,0,0,已校
P0136,王商,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0137,王奇,新,外戚,0,0,0,0,0,0,1,1,已校
P0138,王忽,西汉,其他,0,0,0,0,0,0,1,1,已校
P0139,王接,西汉,阙,0,0,0,0,0,0,1,1,已校
P0140,王方,东汉,士人,0,0,0,0,0,0,1,1,已校
P0141,王望,新,其他,0,0,0,0,0,0,1,1,已校
P0142,王林卿,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0143,王歙,更始,阙,0,0,0,0,0,0,1,1,已校
P0144,王沈,魏,士人,0,0,0,0,0,0,1,1,已校
P0145,王粲,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0146,王能,西汉,阙,0,0,0,0,0,0,1,1,已校
P0147,王舜,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0148,王莽,西汉_新,外戚,0,0,0,0,0,0,1,1,已校
P0149,王蕃,吴,士人,0,0,0,0,0,0,1,1,已校
